gene_id	string_protein_id	propagate_score
KIF12	9606.ENSP00000363232	6.213507896506347e-05
SEC22B	9606.ENSP00000463393	0.0001345429204565677
KLC4	9606.ENSP00000259708	0.00018283227628898652
ARFGAP3	9606.ENSP00000263245	0.0001017983966764141
ETFA	9606.ENSP00000452762	1.6261723274486702e-05
KDELR3	9606.ENSP00000386918	0.00011955113751683278
SPTA1	9606.ENSP00000357129	0.0001041058602574576
AP1G1	9606.ENSP00000377148	0.0001723177332596782
KIF3A	9606.ENSP00000385808	0.00020300275580234574
COPZ1	9606.ENSP00000449270	0.0001333805548685778
COPE	9606.ENSP00000262812	0.00013627206509198969
DCTN1	9606.ENSP00000354791	0.00023783562019957365
M6PR	9606.ENSP00000000412	0.0001737851300684167
LDLRAP1	9606.ENSP00000363458	0.00015052875199491892
SH3GL2	9606.ENSP00000369981	0.00029603571158883104
STX10	9606.ENSP00000466298	3.202669115291203e-05
GCC2	9606.ENSP00000307939	2.8180056556881057e-05
SYNJ2	9606.ENSP00000347792	0.0002002620131573394
APOB	9606.ENSP00000233242	0.0003841006491082947
HIP1R	9606.ENSP00000253083	0.0001950012979191154
FNBP1L	9606.ENSP00000271234	0.0001531648111213044
WASL	9606.ENSP00000223023	0.00025771084929132837
AP2A1	9606.ENSP00000351926	0.0003354755227569973
NSF	9606.ENSP00000381293	0.000115854720299267
RAB5B	9606.ENSP00000353444	0.00018952768919228968
IGF2	9606.ENSP00000391826	0.00016093358496282523
SYT8	9606.ENSP00000371394	0.00014775327352868056
CTSZ	9606.ENSP00000217131	0.00014751085137579086
CD3G	9606.ENSP00000431445	0.002011968693019492
AP2B1	9606.ENSP00000482835	0.0002954560057570681
UBC	9606.ENSP00000441543	0.0008218745429355444
SYT2	9606.ENSP00000356236	0.00016219817387186898
ITSN2	9606.ENSP00000347244	0.000163784472167342
EPS15L1	9606.ENSP00000393313	0.00015647536520071615
PACSIN1	9606.ENSP00000484060	0.00015139378877098542
CD4	9606.ENSP00000011653	0.0019005440920965475
AP1M2	9606.ENSP00000250244	0.00014724547814394575
SYNJ1	9606.ENSP00000409667	0.00020052063285551892
RAB9B	9606.ENSP00000243298	4.812349386660324e-05
AMPH	9606.ENSP00000348602	0.00015655379433729817
VPS51	9606.ENSP00000279281	2.587729673730376e-05
UBQLN2	9606.ENSP00000345195	0.00012924367393314645
STAM2	9606.ENSP00000263904	0.00023652150864480928
ARPC5	9606.ENSP00000294742	0.00020131297939850542
TACR1	9606.ENSP00000303522	0.00023316763212072146
IL7R	9606.ENSP00000306157	0.0011979472626906787
DAB2	9606.ENSP00000313391	0.00016138276579190602
REPS2	9606.ENSP00000349824	0.0001478845825323545
STAM	9606.ENSP00000366746	0.00023625868080251523
STON1	9606.ENSP00000384615	0.00015270817992174906
RAB5C	9606.ENSP00000447053	0.00027508909500286864
CFTR	9606.ENSP00000003084	0.00025218853870146357
SNX18	9606.ENSP00000317332	0.0001465910940952611
SYT9	9606.ENSP00000324419	0.00015157437889428877
FNBP1	9606.ENSP00000413625	0.000152473385251982
KIF13A	9606.ENSP00000259711	7.154133911930397e-06
AP1S1	9606.ENSP00000336666	0.00018861936740293078
SLC18A3	9606.ENSP00000363229	0.0001612247689692293
AVP	9606.ENSP00000369647	0.0002780518164297369
DVL2	9606.ENSP00000005340	0.0002731436980950803
BIN1	9606.ENSP00000316779	0.00016730197713036316
NAPG	9606.ENSP00000324628	8.66976275761519e-05
TRIP10	9606.ENSP00000320117	0.00018440441381713092
LRP2	9606.ENSP00000263816	0.0001973654459238371
CBL	9606.ENSP00000264033	0.0006384171214122675
SH3KBP1	9606.ENSP00000380921	0.00023801044981021323
ADRB2	9606.ENSP00000305372	0.0002362598589808212
AP1S2	9606.ENSP00000444957	0.000156260234164778
SYT11	9606.ENSP00000357307	0.00015396868830723235
GAK	9606.ENSP00000314499	0.00019432311249410237
VPS54	9606.ENSP00000272322	3.069558080450151e-05
REPS1	9606.ENSP00000392065	0.0001535166095956311
GNS	9606.ENSP00000258145	8.500261901920158e-05
NECAP1	9606.ENSP00000341737	0.00017923970674341334
STX16	9606.ENSP00000360183	4.966394350295553e-05
IGF2R	9606.ENSP00000349437	0.0002044198348289264
FCHO1	9606.ENSP00000473001	0.00013599444378217947
EGFR	9606.ENSP00000275493	0.0020693177484186823
TFRC	9606.ENSP00000353224	0.00022795523988223675
AP2S1	9606.ENSP00000263270	0.0003124382372912599
CLTC	9606.ENSP00000479606	0.00033766735773173995
EPS15	9606.ENSP00000360798	0.00017733986699054751
SNX9	9606.ENSP00000376024	0.00018290761922873784
VTI1A	9606.ENSP00000376792	5.067944288937801e-05
TF	9606.ENSP00000385834	0.0002578372490666171
GGA2	9606.ENSP00000311962	1.5238287152997593e-05
VPS53	9606.ENSP00000401435	3.2626452759645804e-05
PICALM	9606.ENSP00000377015	0.00020133776026473997
PIK3C2A	9606.ENSP00000265970	0.00023262794060321894
AVPR2	9606.ENSP00000351805	0.00020300287017500587
LDLR	9606.ENSP00000454071	0.0001714478799038204
VAMP7	9606.ENSP00000262640	0.00021795314387549881
WNT5A	9606.ENSP00000264634	0.00023778855980305976
NAPB	9606.ENSP00000482826	9.599000080481655e-05
RAB5A	9606.ENSP00000273047	0.0002309139615930881
AP2M1	9606.ENSP00000292807	0.0003386593916655605
RABEPK	9606.ENSP00000362639	1.2062171560706838e-05
DNM3	9606.ENSP00000356705	0.0002538514159576308
RHOBTB3	9606.ENSP00000369318	9.632072805461159e-06
SYT1	9606.ENSP00000261205	0.00018316587110163082
OCRL	9606.ENSP00000360154	0.00023979312565242027
VAMP8	9606.ENSP00000263864	0.00043619424814402084
ITSN1	9606.ENSP00000370719	0.0001961290156482859
UBB	9606.ENSP00000304697	0.0008189876477455451
ARPC1A	9606.ENSP00000262942	0.00020503931466155456
CLTA	9606.ENSP00000242285	0.0003094936249584614
HGS	9606.ENSP00000331201	0.00018887023242277173
UBA52	9606.ENSP00000388107	0.0008910535016397429
VAMP3	9606.ENSP00000054666	0.00020422837609888027
DNM2	9606.ENSP00000373905	0.00030447213611644285
AP2A2	9606.ENSP00000327694	0.000314519764205207
EPN1	9606.ENSP00000406209	0.00015965962454082494
AAK1	9606.ENSP00000386456	0.0001510449229788537
VPS52	9606.ENSP00000409952	2.9206462736725244e-05
STON2	9606.ENSP00000450857	0.00015333436373060787
FZD4	9606.ENSP00000434034	0.00019207469191668788
CD3D	9606.ENSP00000300692	0.0019445103049750563
CHRM2	9606.ENSP00000399745	0.000296807323178299
HIP1	9606.ENSP00000336747	0.00014938599584224616
PACSIN3	9606.ENSP00000440945	0.00015149274147459047
EPN2	9606.ENSP00000320543	0.00015148031359533463
VAMP4	9606.ENSP00000236192	0.00018709131562289692
EGF	9606.ENSP00000265171	0.0007093000444660006
ACTR3	9606.ENSP00000263238	0.00021701552905384138
KIAA0319	9606.ENSP00000367459	0.0001544627234194619
SH3GL1	9606.ENSP00000269886	0.00018528956712944198
ACTR2	9606.ENSP00000367220	0.00028508008499389994
NAPA	9606.ENSP00000263354	0.00013380958988391396
SGIP1	9606.ENSP00000360076	0.00018793109393957467
SNAP91	9606.ENSP00000400459	0.0001489719966990598
SH3GL3	9606.ENSP00000320092	0.0001615154432261043
ARRB2	9606.ENSP00000403701	0.00035363743693989823
GAPVD1	9606.ENSP00000377664	0.0001511622186904987
RPS27A	9606.ENSP00000272317	0.0008670727680023041
SLC2A8	9606.ENSP00000362469	0.00014681680342278373
ARRB1	9606.ENSP00000409581	0.0003468878459148622
ARPC2	9606.ENSP00000295685	0.00020872954679104663
HSPA8	9606.ENSP00000432083	0.0003415955751147123
TXNDC5	9606.ENSP00000369081	0.00010774376941440407
DNM1	9606.ENSP00000362014	0.0003198265320212122
RAB9A	9606.ENSP00000420127	5.537262684350091e-05
DNASE2	9606.ENSP00000222219	2.6737915067607166e-05
AGFG1	9606.ENSP00000387282	0.00015348531077496612
VAMP2	9606.ENSP00000314214	0.00026052587187055866
PLIN3	9606.ENSP00000221957	1.5253916917701262e-05
PGRMC1	9606.ENSP00000217971	0.00014687665648757897
FCHO2	9606.ENSP00000393776	0.0001375449356607553
CLTB	9606.ENSP00000309415	0.00020652125086627197
TGOLN2	9606.ENSP00000386443	0.0002900000446904049
AP1M1	9606.ENSP00000388996	0.00029330412464402496
CTTN	9606.ENSP00000365745	0.00029265143226731537
NECAP2	9606.ENSP00000391942	0.0001807928885860467
PACSIN2	9606.ENSP00000263246	0.0001501007980053051
AP1S3	9606.ENSP00000379891	0.0001413470048802096
ARPC4	9606.ENSP00000388169	0.00020280772744473585
ARPC3	9606.ENSP00000228825	0.0002073725371548329
CLTCL1	9606.ENSP00000441158	0.00017146726012588157
SCARB2	9606.ENSP00000264896	0.00015534802112564678
DNAJC6	9606.ENSP00000360108	0.0001959199656435502
AGTR1	9606.ENSP00000419422	0.0002865598165157887
FKBP4	9606.ENSP00000001008	5.941934584462437e-05
NR3C2	9606.ENSP00000350815	4.094396470600718e-05
NRIP1	9606.ENSP00000383063	6.759618390400125e-05
HSF1	9606.ENSP00000431512	3.9168753225808035e-05
NR3C1	9606.ENSP00000231509	0.00019533176404402258
S100A1	9606.ENSP00000292169	4.158344293329051e-05
AHSA1	9606.ENSP00000216479	1.953424298718754e-05
PPP5C	9606.ENSP00000012443	5.496549105607698e-05
ESR1	9606.ENSP00000405330	0.00028998761695733246
GLMN	9606.ENSP00000359385	8.60753056009569e-05
GATA3	9606.ENSP00000368632	0.0008931026141340963
PHLPP1	9606.ENSP00000262719	2.929312887943461e-05
FKBP5	9606.ENSP00000444810	3.254349748282231e-05
HSPA1A	9606.ENSP00000364802	0.0001112863484023305
PPID	9606.ENSP00000303754	2.2682857541025827e-05
HSPA2	9606.ENSP00000378199	9.419162067442152e-05
MAPK1	9606.ENSP00000215832	0.0008159985559499828
PTGES3	9606.ENSP00000482075	0.00013772364801107394
ATOX1	9606.ENSP00000430598	8.923357521298727e-06
TLE3	9606.ENSP00000452871	6.488943668357025e-05
HSPA4	9606.ENSP00000302961	0.00013449701322980172
HSP90AA1	9606.ENSP00000335153	0.000455372537933108
HSP90AB1	9606.ENSP00000360609	0.00017431522517499025
NCOA3	9606.ENSP00000361066	0.00013592904683816547
STIP1	9606.ENSP00000351646	3.773258028921394e-05
MTOR	9606.ENSP00000354558	0.00031118054119346096
EP300	9606.ENSP00000263253	0.0004648849940193091
FOXA1	9606.ENSP00000250448	5.5023437971427786e-05
HSPA1L	9606.ENSP00000364805	5.465557994115079e-05
ESR2	9606.ENSP00000343925	7.082219679823056e-05
AKT1	9606.ENSP00000451828	0.00272189620962683
PHYH	9606.ENSP00000263038	1.2731190846518461e-05
PGR	9606.ENSP00000325120	0.0001037119545804177
MAPK3	9606.ENSP00000263025	0.0006961125558080745
AR	9606.ENSP00000363822	0.00022808332077841212
CLCA1	9606.ENSP00000234701	1.960026515626453e-05
HSPA1B	9606.ENSP00000364801	4.676436164647933e-05
CYP26B1	9606.ENSP00000001146	1.2601057478693255e-05
CYP3A4	9606.ENSP00000337915	6.322989250186758e-05
RARS	9606.ENSP00000231572	2.0119581316169746e-05
CYP2S1	9606.ENSP00000308032	2.2454776464808068e-05
CYP26A1	9606.ENSP00000224356	2.480315919645534e-05
CYP2A6	9606.ENSP00000301141	3.787771924374433e-05
CYP3A5	9606.ENSP00000222982	3.991761885908827e-05
CYP2C9	9606.ENSP00000260682	4.373421462562989e-05
